"placename","othername","designator","location","remarks","infosource"
"Virginia House (R.S.)","   -","Structure","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"Virginia Normal Sch.","   -","College","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Virginia Normal School","Bridgewater College","College","   -","   -","HRHS Archives # 86 Whitmer"
"Virginia School","   -","School","West Central","P. 14","1885 Lakes Atlas Revised 2013"
"Virginia School Number 22","Old Virginia School","School","   -","   -","HRHS Archives # 86 Whitmer"
"Vision of Hope","Refer to: Mt. Sinai United Brethren Church","Church","Harrisonburg, southeast of I-81 1.5 miles on Port Republic Road","United Methodist","HRHS Churches Database 2013"
"W G & H S","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"W G.& H. S.","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"W. H. Marshall Mill","   -","Mill","Swift Run","   -","HRHS Mill Books"
"W. H. Myers Mill","Hopkins Mill","Mill","Muddy Creek","   -","HRHS Mill Books"
"W. M. Hensley Mill","   -","Mill","Elkton","   -","HRHS Mill Books"
"W.C. & S.L. RR Grade","Chesapeake Western RR","Railroad","Begins at Harrisonburg, goes through Dayton and Bridgewater and continues to Augusta Co. Propbably at least as far as Mt. Solon","   -","HRHS Archives # 86 Whitmer"
"Wa. Sh.","   -","Other","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Wa. Sh.","   -","Other","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Waggys Creek","Union Springs Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Wagon Shop","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Wagon Shop","   -","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Wagon Shop","   -","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Wagon Shp.","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Walls Run","   -","Stream","Rise about 3.7 mi ESE of Rocky Bar, near 38 20 00N, 78 39 12W, flows N about 2.8 mi into Gap Run near 38 22 04N, 78 40 07W, about 2.4 mi NE of Rocky Bar.","   -","HRHS Archives # 86 Whitmer"
"Wampler Family Cemetery","   -","Cemetery","Broadway area, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 11 North and turn left onto Route 259 (Mayland Road).  Continue on Route 259 and turn a right onto Route 809 (Wampler Road).  Go a few miles and you will see cemeter","   -","HRHS Cemeteries Database 2013"
"Wampler Foods","   -","Mill","Harrisonburg","   -","HRHS Mill Books"
"Wampler Road","Singes Glen Road","Road","A road extending generally W-E. Begins at intersection of SR 731 and 725 at Linville, extends at least to intersection of SR 619 and 721, about 1.2 mi E of Linville. Is now portion of present day SR 721.","   -","HRHS Archives # 86 Whitmer"
"Wampler Sch.","No.10","School","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Wampler School Number 10","   -","School","On SR 619. About 2.9 mi NNW of 10th Legion.","   -","HRHS Archives # 86 Whitmer"
"War Branch","   -","Stream","Rises about 4.2 mi SE of Bald Knob, 38 32 40N, 79 00 32W, flows SSE about 7.3 into Muddy Creek near 38 27 58N, 78 58 34W, at Hinton.","   -","HRHS Archives # 86 Whitmer"
"War Branch","   -","Stream","Rises about 5 mi S of 10th Legion, near 38 30 20N, 78 42 49W, flows N about 6.7 mi into Smith Creek, near 38 35 10N, 78 42 24W, about 1.5 mi NE of 10th Legion","   -","HRHS Archives # 86 Whitmer"
"War Branch","   -","Stream","Western part of County","Name from battle of two indian tribes","Other Sources"
"War Branch","   -","Stream","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Warehouse","   -","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Warehouse","   -","Business","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Warehs. & Office","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Warm Spgs Tnpk.","   -","Road","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013"
"Warm Spgs. Tpke","   -","Road","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Warm Springs Turnpike","Warm Spring Turnpike","Road","A road extending generally NE-SW. Begins as South High St. in Harrisonburg, ends at Warm Springs Community in Bath Co. It is no portions of prsent day South High St. in Harrisonburg, St.Rt.42 in Rok/Aug/Rob and Bath Counties, and SR 39 in Bath Co. Ex","   -","HRHS Archives # 86 Whitmer"
"Wash Hse (R.S.)","   -","Business","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"Washington Stone","   -","Structure","On U.S. Rt. 11 at what is now Rest Haven Memorial Gardens, about 2.1 mi NE of the courthouse in Harrisonburg.","Does it still exist?","HRHS Archives # 86 Whitmer"
"Water Tank","   -","Structure","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Waterloo Mill","   -","Mill","Elkton","   -","HRHS Mill Books"
"Wease Cemetery #","   -","Cemetery","Refer to Mt. Grove Community Chapel Cemetery the name has been changed."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Weaver Church","Weavers Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Weaver Mill","   -","Mill","Spring Creek","   -","HRHS Mill Books"
"Weaver Mountain","   -","Mountain","Elevation 2864'. On Blue Ridge about 4.5 mi I of Rockytop.","   -","HRHS Archives # 86 Whitmer"
"Weavers Bluff","   -","Hill","Extends along the SE bank of South Fork Shenandoah River about .7 mi. Rises about 140 feet above river level. Elevation about 1160'. About 2.2 mi NW of Rockytop. Center near 38 18 58N, 78 44 17W.",,"HRHS Archives # 86 Whitmer"
"Weavers Church","Weaver Church","Church","On U.S. Rt 33. About 2.3 mi E of Mole Hill.","--","HRHS Archives # 86 Whitmer"
"Weavers Church Road","   -","Road","A road extending generally NNW-SSE. Begins at intersection of SR 701 and 726. About 2.2 mi NE of Mole Hill, ends at eastern intersection of U.S. Rt.33 and SR 726, about 2.3 mi E of Mole Hill. Is now portion of present day SR 726. Extends about 1.7 mi","   -","HRHS Archives # 86 Whitmer"
"Weavers Knob","   -","Mountain","Elevation 2686'. About 3.2 mi E of Bergton.","   -","HRHS Archives # 86 Whitmer"
"Weavers Mennonite Church","Refer to: Burkeholder's Mennonite Church","Church","Harrisonburg. West  on Rt 33.","Mennonite","HRHS Churches Database 2013"
"Weavers Mennonite Church Cemetery","   -","Cemetery","Harrisonburg, Rockingham County, Virginia.  From the corner of Route 33 West & Route 42 North in Harrisonburg,  go West on Rt. 33 for 1.9 miles.  Cemetery is on the right side of road.","   -","HRHS Cemeteries Database 2013"
"Webster Family Cemetery","   -","Cemetery","Harrisonburg, Rockingham County, Virginia. From Harrisonburg, take Route 33 East to Chestnut Ridge and turn right. Go 1/10 mile and turn right on to Blue Stone Hills Drive. Go 5/10 miles and turn left on to Pearl Lane. Go 3/10 mile and cemetery is lo","   -","HRHS Cemeteries Database 2013"
"Wenger Road","   -","Road","A road extending generally SE-NW, partially along Shanks Run. Begins at intersection of U.S. Rt.42 and 752, about 1.8 mi N of Linville, and probably ends at western intersection of SR 752 and 753, about 2 mi NE of Singers Glen (it may continue to SR","   -","HRHS Archives # 86 Whitmer"
"Wengers Mill","   -","Mill","A water powered mill on Linville Creek, at intersdection of SR 42 and 752. About 1.8 mi N of Linville.","   -","HRHS Archives # 86 Whitmer"
"Wengers Mill","   -","Mill","Edom","   -","HRHS Mill Books"
"Wenger's Mill","Brown's Mill","Mill","Edom","   -","HRHS Mill Books"
"Wenger's Mill","Burruss Mill","Mill","Edom","   -","HRHS Mill Books"
"Wesley Chapel","   -","Church","Old Keezletown Road, east of Smith Creek (No longer exists)","Methodist Episcopal","HRHS Churches Database 2013"
"West Central Switchboard","   -","Business","On sr 910. About 3.1 mi E of Mole Hill. Probably near 38 27 28N, 78 53 52W.","   -","HRHS Archives # 86 Whitmer"
"West Fork Linville Creek","   -","Stream","Rises about 2.3 mi E of Mt. Clinton, near 38 29 12N, 78 55 05W, flows NW about 5.5 mi into Linville Creek, near 38 31 24N, 78 51 34W, about 1.2 mi W of Linville.","   -","HRHS Archives # 86 Whitmer"
"West Gap","Dovesville, Bergton","Community","   -","1880 Spring Creek Normal and Collegiate Institute. 1887 Virginia Normal, 1889 Bridgewater College.","Other Sources"
"West Mountain","   -","Mountain","Elevation about 2680'. Extends NE -SW about 5.2 mi. Center in Shenandoah Co. about 2.7 mi NNE of Bergton.","   -","HRHS Archives # 86 Whitmer"
"West Swift Run","Swift Run","Stream","   -","West prefix added as a Swift Run is on east side of Mountain.","Other Sources"
"West Switft Run","Swift Run","Stream","Rises about 1 mi W of Swift Run Gap, ear 38 21 25N, 78 33 49W, flows NNW about 4 mi into Elk Run ear 38 23 52N, 78 35 40W, about 1.5 SE of Elkton.","   -","HRHS Archives # 86 Whitmer"
"West Valley Road","   -","Road","Aroad extending generally NE-SW, partially along Shoemaker River, Long Run, & War Branch of Muddy Creek. Probably begins at intersection of SR 612 & 817, about 3.5 mi NNW of Singers Glen and ends at intersection of U.S.33 & SR 612 about 4.5 mi N of O","   -","HRHS Archives # 86 Whitmer"
"Wetzel Knob","Hughs Mountain","Mountain","Elevation 2910'. About 6 mi NW of Fulks Run.","   -","HRHS Archives # 86 Whitmer"
"Weyer?s Cave Station","   -","Church","Grottoes, near town","Dunkard","HRHS Churches Database 2013"
"Weyers Cave","Grand Caverns","Cave","   -","   -","HRHS Archives # 86 Whitmer"
"Weyer's Cave","   -","Cave","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Weyer's Cave Sta","   -","Town","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Weyers Cave Station","Grottoes","Town","   -","   -","HRHS Archives # 86 Whitmer"
"Wheelbarger Mill","   -","Mill","Rushville","   -","HRHS Mill Books"
"Wheelberger Hollow","   -","Valley","Runs WNW to ESE. Extends about 1.1 mi mouth of hollow opens onto Union Springs Run, near 38 27 26N, 79 03 37W. Hollow begins near 38 27 46N, 79 04 40W. Center about 2 mi NNE of Briery Branch Community.","   -","HRHS Archives # 86 Whitmer"
"Whetzel Family Cemetery","   -","Cemetery","Criders area, Rockingham County, Virginia. One half mile east of Criders Post Office.","   -","HRHS Cemeteries Database 2013"
"Whetzel Mill","   -","Mill","Bergton","   -","HRHS Mill Books"
"Whetzel Plot","   -","Cemetery","On Top of Shenandoah Mountain. Probably on West Virginia side of mountain.","   -","HRHS Cemeteries Database 2013"
"Whetzel Seed Company","   -","Mill","Harrisonburg","   -","HRHS Mill Books"
"White Grass Knob","   -","Mountain","Elevation 3261'. About 5 mi ENE of Cow Knob.","   -","HRHS Archives # 86 Whitmer"
"White Hall School","Whitehall School","School","   -","   -","HRHS Archives # 86 Whitmer"
"White Oak Flat","   -","Hill","Elevation about 3320'. About 1.8 mi SE of Bald Knob",,"HRHS Archives # 86 Whitmer"
"White Oak Run","   -","Stream","Rises about 1.3 mi SW of Browns Gap, near 38 13 46N, 78 43 49W, flows NNW about 2.1 mi into Madison Run near 38 15 08N, 78 44 59W, about 3.2 mi SW of Rockytop","   -","HRHS Archives # 86 Whitmer"
"White Rock","   -","Rocks","On SE side of First Mountain on Massanutten Mountain, about 2.2 mi S of Lairds Knob.","   -","HRHS Archives # 86 Whitmer"
"White Rock","   -","Rocks","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Whitehall School","White Hall School","School","On SR 612. About 3.1 mi WNW of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Whitesel Church","Whitesels Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Whitesel Church","   -","Church","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Whitesel?s United Brethren Church","(See also, Mt. Hebron and St. James United Methodist Church)","Church","Pleasant Valley, east.","United Brethren","HRHS Churches Database 2013"
"Whitesels Church","Whitesel Church, Whitesel Church","Church","On SR 681. About 3.2 mi E of Mt. Crawford.","   -","HRHS Archives # 86 Whitmer"
"Whitesels United Brethren Church Cemetery","   -","Cemetery","Pleasant Valley area, Rockingham County, Virginia. From the corner of Route 11 south (Main Street) and Route 659 (Port Republic Road) travel east 5.3 miles on Route 659. Turn right onto  Route 276 (Cross Keys Road). Go a short distance and turn right","   -","HRHS Cemeteries Database 2013"
"Whitmer Cemetery","   -","Cemetery","Brocks Gap area, Rockingham County, Virginia.  From Fulks Run Grocery Store (Turner Ham) take Rt. 259 (Brocks Gap Road) west 4.4 miles and turn left onto Rt. 921 (Lairs Run Road).  Go to end of Rt. 921 and turn right onto gravel lane.  About 3/10 mil","   -","HRHS Cemeteries Database 2013"
"Whitmer Family Cemetery","   -","Cemetery","Mt. Crawford, Rockingham County, Virginia. From the corner of Route 11 south (Main Street) and Route 659 (Port Republic Road) travel east 5.3 miles on Route 659. Turn right onto  Route 276 (Cross Keys Road). Go about 3-1/2 miles to home of Steve and","   -","HRHS Cemeteries Database 2013"
"Whitmer School","Witmer School","School","On W side of North Fork Shenandoah River, near intersection of SR 259 and 921. About 3.2 mi ESE of Wetzel Knob.","   -","HRHS Archives # 86 Whitmer"
"Whitmer-Bowman Family Cemetery","   -","Cemetery","Mt. Clinton area, Rockingham County, Virginia.  Refer to Bowman-Whitmer Family Cemetery.","   -","HRHS Cemeteries Database 2013"
"Whitmore Family Cemetery","   -","Cemetery","Keezletown, Rockingham County, Virginia.  Located on the original Whitmore farm and is presently owned by the Brunk family. The cemetery is at the base of Massanutten Mountain just below Laird's Knob and about one and one-half miles Southeast of the","   -","HRHS Cemeteries Database 2013"
"Whitmore?s Camp Meeting","   -","Church","Ottobine","United Brethren","HRHS Churches Database 2013"
"Whitsel Church","   -","Church","On SR 681 about 3.2 mi E of Mt. Crawford","   -","HRHS Archives # 86 Whitmer"
"Whitsels EUB Church Cemetery #","   -","Cemetery","Refer to the Pleasant Grove EUB Church Cemetery. The name has changed over the years."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Whittigs Store","   -","Business","   -","   -","Other Sources"
"WHRG Radio Tower","   -","Structure","Between U.S. Rt. 11 and Interstate 81, about 1.7 mi N of Pleasant Valley Community.","   -","HRHS Archives # 86 Whitmer"
"Wildcat Ridge","   -","Mountain","Elevation about 3400'. Extends WSW-ENE about 1 mi from SE side of Shenandoah Mountain. Center about 2.3 mi NE of High Knob.","   -","HRHS Archives # 86 Whitmer"
"William Linville Mill","   -","Mill","Linville Creek","   -","HRHS Mill Books"
"William Sylveus Mill","   -","Mill","Runions Creek, Fulks Run","   -","HRHS Mill Books"
"Williams Family Cemetery","   -","Cemetery","East of Elkton, Rockingham County, Virginia. Travel east on Route 33 from Elkton, through Swift Run Gap area, till you come to Beldor Road (Route 628).  Turn right and go 6/10 mile and turn left onto Sandy Bottom Road (Route 626).  You can see the ce","   -","HRHS Cemeteries Database 2013"
"Williams Run","   -","Stream","Rises about .9 mi SW of Cross Keys, near 38 21 08N, 78 51 22W, flows SSE about 3.8 mi into North River near 38 18 34N, 78 49 56W, about 1.5 NW of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Williamsport","Thompson's Store, Riddles Tavern, Timberville","Town","   -","   -","Other Sources"
"Willow Run","   -","Stream","Rises about 2.4 mi E of Mt. Clinton, near 38 29 08N, 78 55 00W, flows NE about 2.4 mi into Linville Creek. Near 38 30 06N, 78 52 58W, about 3.9 mi SSE of Singers Glen.",,"HRHS Archives # 86 Whitmer"
"Willow Run","   -","Stream","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Willow Run","   -","Stream","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Willow Run School Number 21","   -","School","Near southern intersection of SR 765 and 910. About 3.8 mi E of Mt. Clinton.","   -","HRHS Archives # 86 Whitmer"
"Wilmer & Jackson","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Wine Family Cemetery","   -","Cemetery","Briery Branch area, Rockingham County, Virginia.  Take Route 42 South (John Wayland Highway) and in Dayton turn right onto Route 257 (Ottobine Road which changes name to Briery Branch Road).  At Ottobine store, Route 257 turns left (south and now Bri","   -","HRHS Cemeteries Database 2013"
"Wine House","   -","Structure","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Winfield & Co JQML","   -","Business","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013"
"Winfield & CO.","J.Q.","Business","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Winfield Homestead Cemetery (*)","   -","Cemetery","Broadway, Rockingham County, Virginia. North on Route 259 (Brocks Gap Road) after crossing Linville Creek.","* Negro","HRHS Cemeteries Database 2013"
